Respondent Number,Category 1: Materials,Category 1: Materials.1,Category 1: Materials.2,Category 1: Materials.3,Category 1: Materials.4,Category 2: Labor and Equipment,Category 2: Labor and Equipment.1,Category 2: Labor and Equipment.2,Category 2: Labor and Equipment.3,Category 2: Labor and Equipment.4,Category 2: Labor and Equipment.5,Category 2: Labor and Equipment.6,Category 2: Labor and Equipment.7,Category 3: Financing,Category 3: Financing.1,Category 3: Financing.2,Category 3: Financing.3,Category 3: Financing.4,Category 4: Design and Documentation,Category 4: Design and Documentation.1,Category 4: Design and Documentation.2,Category 4: Design and Documentation.3,Category 4: Design and Documentation.4,Category 4: Design and Documentation.5,Category 5: Management and Organization,Category 5: Management and Organization .1,Category 5: Management and Organization .2,Category 5: Management and Organization .3,Category 5: Management and Organization .4,Category 5: Management and Organization .5,Category 6: Schedule,Category 6: Schedule .1,Category 7: Contractual issues,Category 7: Contractual issues .1,Category 7: Contractual issues .2,Category 7: Contractual issues .3,Category 7: Contractual issues .4,Category 8: Scope of work,Category 8: Scope of work.1,Category 8: Scope of work.2,Category 8: Scope of work.3,Category 9: External issues,Category 9: External issues .1,Category 9: External issues .2,Respondant Information,Respondant Information.1,Respondant Information.2,Respondant Information.3,Respondant Information.4,Respondant Information.5
-0.38760126648920734,1,1,1,1,1,5,5,3,2,5,5,5,4,5,5,5,5,3,5,4,4,3,1,1,2,2,5,5,5,5,2,2,3,5,4,5,3,4,5,4,5,2,1,5,2,3,2,1,1,5
-0.3633761873336319,1,1,4,3,4,4,4,4,5,3,3,5,5,4,2,3,2,5,5,4,3,5,5,4,4,3,4,4,3,5,5,3,3,2,2,5,3,4,5,4,3,2,2,4,2,5,2,1,3,4
-0.33915110817805644,1,1,4,3,4,4,4,4,5,3,3,5,5,3,2,4,2,5,5,4,3,5,5,3,3,5,3,4,4,5,5,3,3,4,4,3,1,4,5,4,3,2,2,4,2,5,2,1,3,4
-0.314926029022481,1,1,4,3,4,4,4,4,5,3,3,5,5,3,2,4,2,5,5,4,3,5,5,3,3,5,3,4,4,5,5,3,3,4,4,5,3,4,5,4,3,2,2,4,2,5,2,1,1,4
-0.29070094986690553,4,5,3,4,4,4,5,4,4,5,4,4,4,5,5,5,4,3,5,4,4,4,4,3,4,3,4,3,3,4,4,4,5,4,3,4,5,4,5,4,4,3,3,5,2,3,3,1,1,4
-0.26647587071133005,4,5,3,4,4,4,5,4,4,5,4,4,4,5,5,5,4,3,5,4,4,4,4,3,4,3,4,3,3,4,4,4,5,4,3,4,5,4,5,4,4,3,3,5,2,3,2,1,2,4
-0.2422507915557546,5,4,1,3,1,4,4,4,4,4,4,3,3,3,3,2,4,2,3,3,1,2,3,4,3,2,3,3,4,5,1,2,3,2,3,5,4,2,3,3,3,2,2,4,2,5,2,2,1,5
-0.21802571240017915,1,1,4,3,4,4,4,4,5,3,3,5,5,3,2,4,2,5,5,4,3,5,5,3,3,5,3,4,4,5,5,4,3,4,4,5,3,5,4,5,4,3,2,2,2,5,2,1,1,4
-0.19380063324460367,3,4,3,2,1,3,3,2,3,3,3,3,4,2,3,3,3,3,3,2,3,4,2,2,2,2,3,2,2,3,3,2,2,3,3,2,3,2,2,3,3,3,2,3,2,4,3,2,2,5
-0.16957555408902822,3,3,3,3,3,4,4,4,4,4,4,4,4,3,2,4,2,2,4,4,4,4,4,4,5,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,3,3,3,2,5,3,1,3,5
-0.14535047493345277,5,3,2,3,5,5,5,5,5,4,5,5,5,5,5,4,4,4,5,5,5,5,4,5,5,4,4,4,5,5,4,4,4,5,5,4,5,5,5,5,4,4,4,5,2,2,3,1,1,5
-0.1211253957778773,5,3,2,3,5,5,5,5,5,4,5,5,5,5,5,4,4,4,5,5,5,5,4,5,5,4,4,4,5,5,4,4,4,5,5,4,5,5,5,5,4,4,4,5,2,2,3,1,2,5
-0.09690031662230184,3,4,5,4,3,3,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4,3,4,4,4,3,4,4,4,4,3,3,4,4,4,5,5,5,5,3,4,5,2,2,4,1,3,5
-0.07267523746672638,2,2,3,3,1,2,3,3,2,2,3,2,3,4,4,1,4,2,3,3,3,3,3,4,3,3,3,2,2,5,4,1,4,3,3,3,4,4,4,3,3,1,1,2,2,2,4,2,2,3
-0.04845015831115092,4,5,4,3,4,4,4,4,4,4,5,5,5,3,4,4,5,4,4,4,4,4,4,5,4,4,4,5,5,4,4,4,3,4,4,5,4,4,5,5,4,4,3,4,2,4,2,2,3,3
-0.02422507915557546,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,4,5,4,5,3,4,4,5,4,4,4,4,4,5,5,4,4,5,2,2,3,2,1,5
0.0,3,3,3,3,3,3,2,3,2,3,3,3,4,4,4,4,5,4,,2,2,3,3,2,3,3,4,3,3,4,3,3,3,2,2,4,5,4,5,5,2,2,2,4,2,2,3,2,3,5
0.02422507915557546,1,1,5,1,1,5,5,5,5,5,5,5,5,4,4,4,4,4,5,5,5,5,5,5,5,3,3,3,5,5,3,3,1,1,1,1,1,5,5,5,5,1,1,1,2,4,3,2,3,4
0.04845015831115092,4,4,1,3,3,4,4,5,4,5,3,5,5,3,5,3,4,2,5,5,4,5,4,3,5,3,5,3,4,4,3,4,5,5,5,3,2,5,5,5,4,3,3,4,2,4,3,2,1,4
0.07267523746672638,4,4,1,3,3,4,4,3,4,5,3,5,5,3,4,2,4,2,3,3,4,5,4,3,5,3,5,4,4,4,4,5,2,2,2,5,3,4,4,4,4,3,3,4,2,5,2,2,3,4
0.09690031662230184,3,1,1,2,1,1,1,3,1,5,1,3,1,5,4,2,5,5,1,1,3,5,3,3,2,3,3,5,5,5,5,2,5,2,2,1,4,5,5,5,1,2,2,5,2,2,3,2,1,3
0.1211253957778773,5,3,3,3,2,5,4,4,4,4,4,5,4,3,3,2,3,1,5,5,5,5,5,5,5,4,5,4,4,5,5,4,5,5,5,5,4,5,5,5,5,3,3,4,2,4,2,2,2,3
0.14535047493345277,5,3,2,3,5,3,3,3,4,4,5,4,5,4,3,3,3,4,5,5,5,4,5,5,4,4,4,4,4,5,4,3,3,3,5,5,5,4,4,4,5,3,3,5,2,5,3,2,2,5
0.16957555408902822,2,2,2,2,1,3,3,1,1,1,1,2,3,3,3,1,3,1,2,1,2,3,3,4,2,1,2,1,3,4,2,1,2,1,2,3,3,5,5,4,4,1,2,3,2,4,2,2,1,5
0.19380063324460367,3,4,2,2,3,4,4,4,5,3,5,4,5,5,5,3,2,2,4,4,4,4,4,3,4,3,4,5,5,5,4,3,3,3,3,3,3,3,4,5,3,2,3,4,2,2,2,1,1,5
0.21802571240017915,2,2,3,4,5,5,5,4,5,5,4,4,5,4,4,4,4,3,3,4,4,2,4,4,4,4,5,5,5,4,5,5,5,4,4,4,4,5,5,4,4,2,2,3,2,1,3,2,1,5
0.2422507915557546,4,1,2,3,4,5,5,5,3,3,4,5,5,4,1,1,1,3,5,4,5,3,1,1,3,2,3,4,4,4,4,4,4,3,2,1,1,5,5,5,2,1,1,3,2,4,2,2,1,5
0.26647587071133005,4,5,3,4,4,4,4,4,4,4,4,4,4,5,5,5,5,3,5,5,4,4,5,4,5,3,4,4,4,4,5,5,4,4,3,4,5,4,4,4,2,4,3,3,2,2,2,1,3,5
0.29070094986690553,3,4,4,3,2,4,4,4,4,4,3,3,3,3,2,1,4,1,4,2,3,3,1,4,1,2,4,3,3,4,3,1,3,3,4,4,4,4,5,4,3,2,2,4,2,2,3,1,3,4
0.314926029022481,4,3,3,3,1,3,4,1,1,1,1,1,1,3,4,1,5,4,4,4,4,4,4,2,3,4,2,3,4,5,2,3,1,3,3,4,4,2,3,3,4,1,1,4,2,5,2,2,3,4
0.33915110817805644,2,2,3,2,3,3,3,3,4,3,4,5,4,3,4,3,4,2,4,4,5,3,3,3,4,3,4,4,3,4,3,3,2,4,3,4,3,4,4,3,4,3,2,2,2,2,2,1,3,5
0.3633761873336319,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,4,4,4,4,4,4,4,2,5,2,2,3,1
0.38760126648920734,3,4,4,4,4,4,5,4,3,4,4,5,5,4,4,4,5,3,5,4,3,3,4,4,5,4,4,5,4,4,4,4,4,4,5,4,4,5,5,4,3,3,3,5,2,2,2,1,3,5
0.4118263456447828,2,2,2,3,2,4,3,3,3,3,2,3,2,4,3,2,1,2,4,5,5,4,4,5,4,5,5,5,4,4,2,2,3,1,1,4,4,5,5,4,1,1,1,4,2,4,2,2,1,5
0.4360514248003583,4,4,1,3,3,4,4,5,4,5,3,5,5,3,5,3,4,2,5,5,4,5,4,3,5,3,5,3,4,4,3,4,5,5,5,3,2,5,5,5,4,3,3,4,2,4,3,2,3,4
0.4602765039559337,3,3,4,3,2,4,4,3,3,4,4,4,4,4,5,3,5,2,4,3,3,4,4,5,4,3,3,3,3,3,4,4,5,4,4,5,5,4,2,5,5,2,3,4,2,5,2,1,1,1
0.4845015831115092,4,3,3,3,3,4,4,4,3,3,4,3,4,5,5,5,5,3,3,3,3,4,3,3,4,3,3,5,5,5,4,4,4,4,4,4,3,3,3,3,3,2,2,3,2,5,3,2,3,5
0.5087266622670846,5,4,3,5,3,4,4,4,3,3,5,4,4,3,3,4,4,3,3,2,3,2,3,3,3,3,3,1,1,4,2,2,5,5,3,3,2,3,4,3,3,2,5,1,2,1,2,2,2,5
0.5329517414226601,4,2,1,2,3,2,4,1,5,2,3,3,2,1,1,1,1,1,3,4,4,5,4,2,3,4,5,4,2,4,3,5,2,2,4,5,3,4,3,5,4,4,5,4,2,2,3,2,2,1
0.5571768205782356,1,1,1,1,2,3,3,3,3,3,4,5,5,4,4,5,5,2,4,4,5,4,5,5,4,4,4,4,4,5,4,2,1,4,4,4,4,4,4,4,4,3,3,4,3,2,2,2,2,5
0.5814018997338111,4,2,4,4,3,4,5,3,4,3,5,5,5,3,4,3,3,2,4,1,4,4,2,4,3,3,4,4,5,5,1,2,4,3,4,3,3,4,5,4,4,1,2,3,3,5,2,2,2,4
0.6056269788893865,5,5,3,2,2,4,4,4,4,4,5,4,4,5,4,3,4,4,4,4,3,4,3,3,3,2,2,4,3,1,2,3,4,4,4,5,5,3,4,5,4,1,1,5,3,2,3,1,1,5
0.629852058044962,4,5,3,5,4,4,4,4,3,3,5,5,4,2,3,4,4,3,4,5,4,4,5,5,4,3,4,3,4,5,4,5,5,4,4,5,4,4,4,2,4,5,5,4,3,2,3,2,2,3
0.6540771372005374,2,2,3,3,4,4,4,3,3,3,4,4,4,3,3,3,4,4,4,3,4,5,4,3,3,5,4,2,3,3,3,3,4,5,5,4,4,5,5,5,4,2,2,3,3,2,2,2,2,4
0.6783022163561129,2,4,4,3,2,4,4,3,4,4,5,5,4,2,2,2,4,3,2,2,2,2,5,3,2,3,4,4,4,2,2,3,2,2,3,5,2,2,2,2,5,3,4,3,3,5,1,3,2,5
0.7025272955116884,4,4,4,4,3,4,4,4,3,4,4,4,4,4,4,3,3,3,5,5,5,3,3,3,4,3,4,4,4,4,4,4,3,3,3,3,3,4,3,3,3,4,4,5,3,5,2,1,3,4
0.7267523746672638,4,2,4,4,3,4,5,3,4,3,5,5,5,3,4,3,3,2,4,1,4,4,2,4,3,3,4,4,5,5,1,2,4,3,4,3,3,4,5,4,4,1,2,3,3,5,2,2,2,4
0.7509774538228393,4,3,3,4,4,3,4,3,4,4,4,5,4,3,3,2,4,2,4,3,4,3,5,5,4,3,4,4,4,4,3,4,5,2,3,4,2,4,3,1,4,2,5,4,3,4,2,1,2,2
0.7752025329784147,4,4,4,4,5,3,3,4,3,4,4,4,4,4,4,4,4,4,3,4,3,5,3,4,4,4,3,4,3,4,2,2,3,3,3,3,3,3,3,3,3,3,3,4,3,4,2,1,1,2
